item_no,item_title,source_pages,source_pdf,test_item,materials,method,domain,domain_code,standard,score_options,ocr_status
45,（45） 恰当地检视及运用测试材料,16,PEP-3使用册(1).pdf,（45） 恰当地检视及运用测试材料,无,"观察：
- 儿童对测试材料有何反应？
-儿童是否对测试材料缺乏自发的兴
趣，或以不恰当的方式使用测试材","行为特征
-非语言",CMB,"2- 恰当地使用测试材料，感兴趣地仔细观看，
及利用视觉及触觉去探索测试材料
1- 过分持续地使用某1种感官检视测试材料，被
终止探索时会有困难；或对测试材料只有少
许兴趣
0- 对测试材料完全不感兴趣；或以不恰当的方
式检视材料（例：抛、转、嗅或擦；过分沉迷
于测试材料之某部分；或对物件反映之影像
过分感兴趣）",2/1/0,OCR草稿，需人工校对
46,（46）恰当地使用视觉检视测试材料,16,PEP-3使用册(1).pdf,（46）恰当地使用视觉检视测试材料,无,"观察：
-儿童是否对视觉刺激有不寻常的兴
趣或回避？","行为特征
-非语言",CMB,"2- 有正常之视觉兴趣及灵敏度
1- 过分地留意视觉刺激；或不寻常地回避以视
觉作探索
0- 不寻常、过分持续地对部分测试材料、物
件、颜色、房间周围等表现视觉兴趣；或极
端逃避某类视觉刺激
不寻常的行为包括将物件排列成固定形式，
对反映之影像表现出过度的兴奋，重复地将
某物件放到光线下，转动物件；或在请求下
亦拒绝望向测试材料或测试员",2/1/0,OCR草稿，需人工校对
47,（47）拍手,16,PEP-3使用册(1).pdf,（47）拍手,无,"测试员拍手数次并确定儿童在观看，
然后说：「你拍手呀！」（你拍手吧！）
在测试期间出现任何偶然的拍手行
为，都可评为2分。",大肌肉,GM,"2- 重复地拍手
1- 曾尝试但未能成功地拍手，但有所需的动作
0- 曾尝试但未能成功地拍手，亦未有所需动作
的意识；或从未尝试拍手",2/1/0,OCR草稿，需人工校对
48,（48） 单脚站立,16,PEP-3使用册(1).pdf,（48） 单脚站立,无,"测试员示范以单脚站立，然后说：
「你用单脚企呀！」（你单脚站立
吧！）并以手势提示儿童。
在测试本项目前注意周围并无可供倚
靠之物件。若儿童平衡有困难，测试
员可以单手扶持儿童。",大肌肉,GM,"2- 无需协助能单脚站立1-2秒
1- 需以单手扶持，儿童才能单脚站立
0- 没有尝试单脚站立",2/1/0,OCR草稿，需人工校对
49,（49）享受身体接触,17,PEP-3使用册(1).pdf,（49）享受身体接触,涠,"测试员先向儿童表示会抱他，然后抱
起及轻轻摇晃儿童。（若儿童的身体
太重未能抱起，则握儿童的手摇荡。
测试员亦可把年幼的儿童放在大腿上
轻轻摇晃。）
观察：
-儿童对身体接触是否表现过度兴奋
或不安？儿童对身体接触是否缺乏
反应？",情感表达,AE,"2- 对身体接触有恰当的反应，表现得十分享受
并有情感上之交流
1- 反应有些不恰当，但未至于如“0评分所指
般极端
0- 对身体接触有不恰当的反应，如尖叫、走
开，表现出惊惶、哭泣，或在与人交往时完
全被动（没有反应）",2/1/0,OCR草稿，需人工校对
50,（50）享受被搔痒,17,PEP-3使用册(1).pdf,"（50）享受被搔痒
软布",无,"嬉戏地搔痒儿童。
观察：
- 儿童对被搔痒是否有过敏反应或反
应过弱？",情感表达,AE,"2- 反应恰当，表现出享受此游戏
1- 反应有些不恰当，表现轻微的惧怕、少许抗
拒，或只有轻微反应
0- 对被轻力搔痒有不恰当的反应，可能包括有
尖叫、不能自控地狂笑、惧怕或在与人交往
时完全被动（没有反应）",2/1/0,OCR草稿，需人工校对
51,（51） 主动重复社交游戏,17,PEP-3使用册(1).pdf,（51） 主动重复社交游戏,软布,"鼓励儿童参与婴儿游戏，如躲猫猫
（藏猫猫）或点虫虫游戏。
- 躲猫猫：把软布盖在儿童头上问：
「xx（儿童的名字）喺边度？」（xx
在哪里？）当儿童或测试员拉下
软布时说：「bu唧。」然后搔痒儿
童。重复游戏，注意儿童有否拉开
软布和希望重复游戏的意图。
点虫虫：把儿童双手的手指放在胸
前，说：「点虫虫，虫虫飞。」然
后搔痒儿童。重复游戏，注意儿童
有否将双手放在面前及希望重复游
戏的意图。
对年纪较大的儿童，可在整段测试时
间观察他们有否任何模仿动作，以作
评分。",社交互动,SR,"2- 明白及对其中1项游戏有反应，并主动要求重
复（主动把手放在胸前、拉下软布）
1- 明白及对其中1项游戏有反应，但没有主动要
求重复游戏或自己做动作*（即把手放在胸前
或拉下软布）*
0- 对所有游戏不感兴趣",2/1/0,OCR草稿，需人工校对
52,（52）主动与测试员有社交沟通,18,PEP-3使用册(1).pdf,（52）主动与测试员有社交沟通,无,"观察：
儿童会否主动及自发地与测试员作社
交沟通，例如：
- 提出问题、参与交谈、出示测试材
料、分享食物或爬到测试员的膝盖
上等。",社交互动,SR,"2- 会主动与测试员作口语或非口语之沟通
1- 察觉到测试员的存在，但没有主动沟通
0- 没有与测试员作任何形式（口语或非口语）的",2/1/0,OCR草稿，需人工校对
53,（53）双脚离地跳跃,18,PEP-3使用册(1).pdf,（53）双脚离地跳跃,无,"测试员面向儿童，示范双脚离地跳
跃，并说：「好似我咁跳呀！」（像我
这样跳吧！）
在测试中，儿童任何偶然的跳跃行为
都可评为2分。",大肌肉,GM,"2- 能成功地以双脚离地跳跃并双脚一同落地
1- 曾尝试而未能成功（双膝弯曲，但双脚没有离
地；只能用一只脚跳跃或只用一只脚落地）
0- 没有尝试去跳跃",2/1/0,OCR草稿，需人工校对
54,（54） 模仿3项大肌肉动作,18,PEP-3使用册(1).pdf,"（54） 模仿3项大肌肉动作
梯级",无,"测试员吸引儿童注意，并说：「睇吓
我做乜嘢？」（看看我做甚么？）然后
示范下列动作，并于每次示范后以口
语指令及动作示意儿童照做：
（1） 举起1只手
（2）触摸鼻子
（3） 把1只手举过头并以另一只手触
摸鼻子","模仿
（视觉/动作）",VMI,"2- 能成功模仿所有动作
1- 模仿最少1种动作或部分动作
0- 没有尝试去模仿任何动作",2/1/0,OCR草稿，需人工校对
55,（55） 双脚交替地上梯级,18,PEP-3使用册(1).pdf,（55） 双脚交替地上梯级,"梯级（没有扶手
者更佳）","测试员与儿童一起站在梯级前。测试
员示范以1步1级上梯级，说：「你又
做呀！」（你也跟着做呀！）动作提示
儿童模仿。
若儿童有困难，测试员可伸出手扶持
儿童。
若没有梯级，可以家长或老师的观察
来评分。",大肌肉,GM,"2-在不需要人扶持或使用扶手下能自行1步1级
上梯级
1-2步1级上梯级或需要扶持
0- 未能或没有尝试步上梯级（例如：爬行）",2/1/0,OCR草稿，需人工校对
56,（56） 用杯子喝饮品,19,PEP-3使用册(1).pdf,"（56） 用杯子喝饮品
哨子","杯1只及1种儿
童喜爱的饮品","测试员向儿童出示饮品，倒少量于杯
中，将杯子放在儿童面前，*请他用
杯子喝饮品。*",大肌肉,GM,"图 （6）
或
2- 拇指张开并与其他手指合作抓握杯子，及在
进饮时不会将饮品弄泻。儿童可用单手或双
手持杯［见图（6）］
1- 拇指不张开，只用手心及手指持杯：或在进
饮时会把饮品弄泻
0- 没有协助则无法持杯",2/1/0,OCR草稿，需人工校对
57,（57）聆听及转向哨子声,19,PEP-3使用册(1).pdf,"（57）聆听及转向哨子声
球及梯级",哨子,"观察：
-当儿童参与另一项测试时，把哨子
收于手内，然后大力吹响。留意儿
童的反应。
儿童对哨子声是否有不恰当的反
应，如过分反应或完全无反应？","行为特征
-非语言",CMB,"2- 对声音有恰当的反应，表现出好奇及准确地
转向声源
1- 在一段时间后才有反应，或表现出轻微的不
恰当情绪反应
0-对声音表现出极端不恰当的反应，包括过度
的情绪反应、过敏（以双手掩耳），或反应过
弱（毫无反应）",2/1/0,OCR草稿，需人工校对
58,（58） 接球,19,PEP-3使用册(1).pdf,（58） 接球,"胶球
（直径约8-10
吋）","测试员站起并离开桌子，指示儿童模
仿。与儿童相隔一段短距离，出示胶
球并以手势表示会将球抛出。接着轻
轻抛球，注意儿童是否会接球，然后
指示儿童将球抛回。重复来回抛接球
3次。",大肌肉,GM,"2- 能在3次测试中最少能接球1次
1- 虽曾尝试但没有成功地接到球（错失或甩手）
0- 没有尝试去接球",2/1/0,OCR草稿，需人工校对
59,（59） 抛球,20,PEP-3使用册(1).pdf,（59） 抛球,同上,"观察：
- 在进行第（58）项的同时，注意儿
童如何将胶球抛给测试员。",大肌肉,GM,"2- 在3次测试中最少抛出1次
1- 虽曾尝试但没有成功地抛出球（甩手）
0- 没有尝试去抛球",2/1/0,OCR草稿，需人工校对
60,（60） 踢球,20,PEP-3使用册(1).pdf,（60） 踢球,同上,"童如何将胶球抛给测试员。
测试员示范踢球，并把球放在儿童前
面*双脚之间*的位置上，指示儿童
模仿，如此重复测试3次。
*测试员应避免以手扶着儿童的身
体，以免影响第（60）及（61）项的评
估结果。*",大肌肉,GM,"0- 没有尝试去抛球
2- 在3次测试中最少踢球1次
1- 曾尝试但没有成功地将球踢出（用脚碰或推）
0- 没有尝试去踢球（脚并没有离开地面）",2/1/0,OCR草稿，需人工校对
61,（61）表现出使用惯用脚,20,PEP-3使用册(1).pdf,（61）表现出使用惯用脚,胶球及梯级,"观察：
- 在进行第（55）及（60）项的同时，
注意儿童是否经常地使用同一只脚
开始行动（开始上楼梯或踢球）。",大肌肉,GM,"2- 清楚表现出使用惯用脚*（即每次均用同一只
脚开始活动）*
1- *开始有使用惯用脚的出现，但未能前后如一
地使用（多数用同一只脚开始活动）*
0- 完全没有表现出使用惯用脚",2/1/0,OCR草稿，需人工校对
62,（62） 持球并向前行4步,20,PEP-3使用册(1).pdf,（62） 持球并向前行4步,胶球,"在游玩时，要求儿童持球交给测试
员，或把球放在较远的盒中或桌子
上。",大肌肉,GM,"2- 能持球向前行走最少4步而球未跌落
1-只能持球向前行走1至2步
0- 未能持球向前行走",2/1/0,OCR草稿，需人工校对
63,（63） 推球,20,PEP-3使用册(1).pdf,"（63） 推球
维子、珠子",同上,"测试员坐在地上与儿童玩推球游戏，
利用物件或测试员本人作推球的目
标。",大肌肉,GM,"2-能有目的地推球至目标物
1- 无方向地推球
0- 没有推球",2/1/0,OCR草稿，需人工校对
64,（64）对绳子的反应,20,PEP-3使用册(1).pdf,（64）对绳子的反应,"一端打上结的
绳子1条","把绳子放在桌子上，鼓励儿童拿起绳
子并使用它，然后对儿童作短暂的观
察（例如：约1-2分钟）。
观察：
-儿童对绳子的反应如何？
儿童是否表现得过分兴奋或以不怡
当的方法玩弄绳子？","行为特征
-非语言",CMB,"2- 儿童对绳子的反应与其实际年龄或发展年龄
的表现相符
1- 对绳子的反应有点不寻常，儿童可能拿起绳
子但没有做任何事，或不感兴趣
0- 对绳子的反应异，出现不寻常的行为，包
括将绳子放进嘴里咬、挥动、大动作地摇动
或完全不理会绳子",2/1/0,OCR草稿，需人工校对
65,（65） 用绳子穿珠子,21,PEP-3使用册(1).pdf,（65） 用绳子穿珠子,"同上，另加2
颗大木珠","测试员将绳子及珠子放在桌子上，并
指示儿童穿珠子。
一段时间后，若儿童不明白此项目或
有困难，测试员可作示范，并再次
指示儿童用绳子穿珠子。",小肌肉,FM,"2- *毫无困难地*穿上最少1颗珠
1- 略有困难但成功穿上最少1颗珠；或有尝试而
未能成功地穿珠，但有所需之动作
0- 曾尝试但未能成功穿上珠子，且未具有所需
之动作；或没有尝试此项目",2/1/0,OCR草稿，需人工校对
66,（66） 摆动穿上珠子的绳子,21,PEP-3使用册(1).pdf,"（66） 摆动穿上珠子的绳子
包绒铁丝、珠子",同上,"测试员手上拿着一条已穿了2颗珠子
的绳子，站起并拿着绳子的一端，示
范像钟摆般摆动珠绳。然后将珠绳交
给儿童，指示儿童站起并摆动珠绳。",大肌肉,GM,"2- 将珠绳像钟摆般摆动
1- 曾尝试但未能成功地摆动珠绳（只能将绳子上
下拉动或只做出短促、间歇的摆动）
0- 没有尝试用任何方式去摆动珠绳",2/1/0,OCR草稿，需人工校对
67,（67）拿走包绒铁丝上的珠粒,21,PEP-3使用册(1).pdf,（67）拿走包绒铁丝上的珠粒,"正方形珠粒6颗
穿在约10吋长
的包绒铁丝1条
上
米（2套）*","*测试员使用其中1套，示范把铁丝
上所有的珠粒逐一拿走。*然后将另
一套铁丝连珠粒交给儿童，指示儿童
拿走珠粒。
若有需要，测试员可用手协助儿童作
为提示。如儿童在进行时有困难，测
试员可以用手拿着铁丝的一端，让儿
童在另一端拿走珠粒。",小肌肉,FM,"2- 能协调地运用双手，以一手拿着铁丝的一
端，另一手*逐一拿*走6颗珠粒
1- 只能自行拿走1-5颗珠粒；或只能用1只手
拿走珠粒
0- 未能或没有尝试",2/1/0,OCR草稿，需人工校对
68,（68）协调地运用双手,21,PEP-3使用册(1).pdf,（68）协调地运用双手,狦,"观察：
当儿童在进行穿珠子、剪纸、涂颜
色或其他需要使用双手的活动时（即
67，70至82项），观察他是否能协调
地使用双手（例如：一只手拿绳子而
另一只手穿珠子，或一只手握蜡笔而
另一只手按着纸张）。",小肌肉,FM,"2- 在各项活动中，儿童都能协调地运用双手
1- 未能协调地运用双手（即已有所需的动作，但
有时会表现出困惑，或协调不佳）
0- 未能协调地运用双手",2/1/0,OCR草稿，需人工校对
69,（69）将物件由一只手交到另一只手,21,PEP-3使用册(1).pdf,（69）将物件由一只手交到另一只手,狦,"观察：
当儿童在玩拼图或穿珠子时，观察儿
童是否会灵活地将物件由一只手交到
另一只手。",大肌肉,GM,"2- 能经常轻易地将物件由一只手交到另一只手
1- 有时能将物件由一只手交到到另一只手；或
进行时有明显的困难
0- 未能或没有尝试去将物件由一只手交到到另
一只手",2/1/0,OCR草稿，需人工校对
70,（70）自发地涂画,22,PEP-3使用册(1).pdf,（70）自发地涂画,书写簿及蜡笔,"测试员请儿童坐在桌子旁，翻开书写
簿的第1页白纸，给儿童1枝蜡笔，
指示儿童随意涂画。
一段时间后，若儿童未有自发地涂
画，测试员可拿起给儿童的笔作示
范，然后将笔交给儿童，再次指示儿
童涂画。",小肌肉,FM,"2- 能自发地涂画或书写
1- 需示范后才尝试作涂画
0- 即使在示范后，仍没有涂画",2/1/0,OCR草稿，需人工校对
71,（71） 表现出使用惯用手,22,PEP-3使用册(1).pdf,（71） 表现出使用惯用手,无,"观察：
在进行第（72）至*（82）*项时，测试
员观察儿童有没有表现出明显地使用
惯用手。并在评估表上记下儿童有没
有清楚的惯用手，如有，记下是哪一
只手。
通常较年长的儿童*（2岁以上）*，
才会有较明显的惯用手。",大肌肉,GM,"2- 清楚表现出使用惯用手*（即在不同的工作中
均一致地使用同一只手）*
1- *开始有使用惯用手的出现，但未能前后如一
地使用（例：儿童在仿画图案及线条时使用右
手，但在剪纸时则使用左手）*
0- 完全没有表现出使用惯用手",2/1/0,OCR草稿，需人工校对
72,（72） 沿线描画3个图形,22,PEP-3使用册(1).pdf,（72） 沿线描画3个图形,书写簿及蜡笔,"测试员指示儿童以蜡笔沿线逐一描画
圆形、正方形、三角形及菱形。若儿
童未能以蜡笔描画，测试员可示范以
食指沿线描画并指示儿童模仿。
若有需要，测试员可用手辅助儿童1
次作为提示，亦可用指导性的口语或
手势作提示。",小肌肉,FM,"2- 无需测试员以手协助，就能用蜡笔或食指沿
线描画最少3个形状
1- 能沿线描画最少1个图形；或需要测试员用
手辅助下才能完成本项目
0- 未能尝试此项目
*项目（73）至（77）的评分，请参照本书附件之
「仿画评分图例」*",2/1/0,OCR草稿，需人工校对
73,（73） 仿画垂直线,22,PEP-3使用册(1).pdf,（73） 仿画垂直线,同上,"测试员翻开书写簿的适当页数，放在
儿童面前，指着例子并指示儿童仿
画。儿童有3次机会尝试仿画。
在一段时间后，若儿童表现出困难或
不明白，测试员可示范，然后指示儿
童再尝试。
观察儿童的使用惯用手表现，以便在
第（71）项评分。","认知
（语言/语前）",CVP,"［若第（70）项［自发地涂画］评为0分，此项则可
免做并评为0分］
2- 无需示范，能在3次中最少仿画垂直线1次，
线条必须是直线并与例子的长度相若（见评分
图例1）
1- 曾尝试仿画垂直线，但线条弯曲、横线多于
直线或与例子长度不符；或在垂直线外加上
其他标记或图案（例如：多画1个圆形包围着
直线）：或需示范才尝试或完成此项目
0- 没有画出垂直线（例如：涂鸦或只是持笔，画
了不像直线的图像在纸上）
19",2/1/0,OCR草稿，需人工校对
74,（74）仿画圆形,23,PEP-3使用册(1).pdf,（74）仿画圆形,同上,同第（73）项,"认知
（语言/语前）",CVP,"［若第（73）项〔仿画垂直线〕评为0分，此项则可
免做并评为0分］
2- 无需示范，能在3次中最少仿画1个圆形（见
评分图例2）
1- 曾尝试仿画，但所画的圆形有很大的缺口或
有角：或只是打圈地乱涂鸦；或需示范后才
尝试或完成此项目
0- 没有尝试去仿画圆形：或画了完全不像圆形
的图形",2/1/0,OCR草稿，需人工校对
75,（75） 仿画正方形,23,PEP-3使用册(1).pdf,（75） 仿画正方形,同上,同第（73）项,"认知
（语言/语前）",CVP,"［若第（73）项〔仿画垂直线〕评为0分，此项则可
免做并评为0分」
2- 无需示范，能在3次中最少仿画1个正方形。
所画的正方形必须4边紧接，没有大缺口，4
边长度相若，4个角须近乎直角。线条可呈轻
微的波浪状（见评分图例3）
1- 曾尝试仿画正方形，但所画的图形并不是一
个4边紧接，4边长度相若的图形，4个角亦
非直角，线条明显地呈波浪状：或需示范后
才尝试或完成此项目
0- 没有尝试仿画正方形；或所画的图形完全不
像正方形",2/1/0,OCR草稿，需人工校对
76,（76） 仿画三角形,23,PEP-3使用册(1).pdf,（76） 仿画三角形,同上,同第（73）项,"认知
（语言/语前）",CVP,"［若第（73）项（仿画垂直线〕评为0分，此项则可
免做并评为0分］
2- 无需示范，能在3次中最少仿画1个三角形。
所画的三角形必须3边紧接，没有大缺口，3
边长度相若，3个角须为完好的尖角。线条可
呈轻微的波浪状，或三角形可近似等腰或直
角三角形（见评分图例4）
1- 曾尝试仿画三角形，但所画的图形并不是一
个3边紧接，3边长度相若的图形，3个角亦
不完整，或线条明显地呈波浪状；或需示范
后才尝试；或需示范后才完成此项目
0- 没有尝试仿画三角形；或所画的图形完全不
像三角形",2/1/0,OCR草稿，需人工校对
77,（77）仿画菱形,24,PEP-3使用册(1).pdf,（77）仿画菱形,同上,同第（73）项,小肌肉,FM,"［若第（73）项〔仿画垂直线）评为0分，此项则可
免做并评为0分］
2- 无需示范，能在3次中最少仿画1个菱形。所
画的菱形必须4边紧接，没有大缺口，各边必
须大致是直线及长度相若（见评分图例5）
1- 曾尝试仿画菱形，但所画的图形4边并未紧
接，各边长度不相若，或线条明显地呈波浪
状；或需示范后才尝试；或需示范后才完成
此项目
0-没有尝试仿画菱形；或所画的图形完全不像
菱形
［若第（73）项〔仿画垂直线〕评为0分，此项则可",2/1/0,OCR草稿，需人工校对
78,（78） 界内着色,24,PEP-3使用册(1).pdf,（78） 界内着色,"同上
色。","测试员翻开书写簿中印有白兔之一
页，指示儿童替白兔的尾巴、耳朵或
脚着色。儿童不需替整幅图涂上颜
测试员在儿童面前翻开书写簿中印有",小肌肉,FM,"［若第（73）项〔仿画垂直线〕评为0分，此项则可
免做并评为0分］
2- 能自行在白兔的尾巴、耳朵或脚之线内涂上颜
色或有轻微出界*（颜色距离界1/4吋以内）*
1- 未能成功地在线内涂上颜色，但所涂的颜色
大部分皆依随白兔的尾巴、耳朵或脚的线条
0- 没有尝试在线内涂上颜色；或只是在整幅图
上涂画
*［若第（73）项〔仿画垂直线）评为0分，此项则",2/1/0,OCR草稿，需人工校对
79,（79） 抄写7个字母,24,PEP-3使用册(1).pdf,（79） 抄写7个字母,同上,"测试员在儿童面前翻开书写簿中印有
7个英文字母（ALBYEDG） 的一页，
并指着第1个字母，对儿童说：「你
写呢个呀。」（你写这个字母吧。）儿
童需直接抄写在每个字母下面。","认知
（语言/语前）",CVP,"*［若第（73）项〔仿画垂直线）评为0分，此项则
可免做并评为0分］*
2- 能正确地抄写全部7个字母
1- 能抄写1至6个能被辨认的字母
0- 没有抄写任何字母；或所抄写的字母全部都
难以辨认",2/1/0,OCR草稿，需人工校对
80,（80） 绘画1个完茎的人形,25,PEP-3使用册(1).pdf,（80） 绘画1个完茎的人形,同上,"测试员在儿童面前翻开书写簿中空白
的一页，并对儿童说：「画个人。」或
「画个男仔 /女仔。」（画一个人或一
个男孩子/女孩子。）
一段时间后，若儿童未开始绘画，测
试员可示范。（测试员所画的人形无
需太精确，见图（7）），但应避免绘画
火柴人。然后指示儿童再画。
米图（7）
*
若儿童的图画不完整（参照2分的标
准），则提醒儿童说：「画完未？」
（画完没有？）但不要提示说出所缺少
的部分。再给儿童1分钟时间完成图
画。","认知
（语言/语前）",CVP,"*［若第（73）项〔仿画垂直线）评为0分，此项则
可免做并评为0分］*
2- 无需示范或提示，能清楚地画出1个人形（有
头、身体、双手、双脚及最少1个面部细节）
1- 曾尝试绘画，但所画的并不是完整的人形（只
画头，或头部与双脚相连）：或需示范后才能
尝试或完成此项目
0-没有画人形：或所画的图画不像人",2/1/0,OCR草稿，需人工校对
81,（81） 写下名字,25,PEP-3使用册(1).pdf,（81） 写下名字,同上,"测试员在儿童面前翻开书写簿中空白
的一页，说：「写低你个名。」（写下
你的名字。）
过一会，若儿童仍未开始写，测试员
可示范写下儿童的名字，然后再次
指示儿童写下自己的名字。","认知
（语言/语前）",CVP,"［若第（79）项〔抄写7个字母〕评为0分，此项则
可免做并评为0分］
2- 无需示范，能写下自己的名字
1- 曾尝试写下自己的名字，但并不完整或有错
漏（只写出其中1个字、笔画倒转方向、次序
出错，或有错别字）；或需示范后才尝试或完
成此项目
0-没有写下自己的名字中任何一个字",2/1/0,OCR草稿，需人工校对
82,（82）用剪刀剪纸,26,PEP-3使用册(1).pdf,"（82）用剪刀剪纸
测试用书","纸张（半张A4
纸）及剪刀","测试员先示范使用剪刀剪纸，把所需
材料交给儿童，然后指示儿童使用剪
刀剪纸。",小肌肉,FM,"2- 能用剪刀剪纸（在纸上剪开小缝或将之剪成纸
条）
1- 曾尝试但未能成功地剪纸，但已具有所需之
动作
0- 未能成功剪纸，也不明白所需的动作；或没
有尝试此项目",2/1/0,OCR草稿，需人工校对
83,（83） 对图画书感兴趣,26,PEP-3使用册(1).pdf,（83） 对图画书感兴趣,"测试用书（有图
画的部分）","测试员把图画放在儿童面前的桌子
上，并观察儿童的反应。过一段时间
后，若儿童没有翻开书本，则鼓励儿
童，说：「你睇唔睇书呀？」（你看书
吗？）
然后观察儿童如何翻阅书本。","认知
（语言/语前）",CVP,"2- 翻开书本，并对图书内的图画感兴趣（翻开书
本、逐页翻开，及注视图画）
1- 翻开图书，但对图书内的图画没有很大兴趣
（翻开书本，粗略地观看书页而非专心注视图
片，或每次翻开数页）
0- 虽经多次鼓励，仍没有翻开书本",2/1/0,OCR草稿，需人工校对
84,（84）假装使用5件图画中的物件,26,PEP-3使用册(1).pdf,（84）假装使用5件图画中的物件,"测试用书（图
片84A-84E）哨
子、球、鼓、
钥匙、*槌子*","测试员向儿童展示测试用书图片
84A，并说：「呢个用嚟做乜？你做
俾我睇呀。」（这个用来做甚么？你给
我示范一下。）指示儿童假装去使用
该物件。
若儿童表现出不明白或有困难，测试
员可以第1张图片作示范。重复以上
程序测试84题余下的图片。","认知
（语言/语前）",CVP,"2- 能假装使用5种物件
1- 能假装使用最少1件物件；或说出最少1件
物件的使用方法（例如：见到钥匙说：「开
门。」），但没有假装使用物件；*或儿童需
要测试员以第1张图片示范后，才假装使用
物件*
0- 没有尝试去假装使用任何物件；或说出任何
物件的使用方法",2/1/0,OCR草稿，需人工校对
85,（85） 辨认14幅图画,27,PEP-3使用册(1).pdf,（85） 辨认14幅图画,"测试用书（85A~
85T）","测试员把测试用书放在儿童面前，翻
开书85A，并吸引儿童的注意，然后
慢慢地逐一指着图画，让儿童观看。
当儿童看完85A的所有图画后，要求
儿童指出「杯子」。接着翻开余下的每
一页，向儿童提问。
测试员应记录正确答案的数目。若
儿童连续出现5个错误，立即停止测
试。
项且 提间词
A. 杯子 「杯」
B 「公仔」
「锁匙」
「飞机」
「雀笼」
「雨遮」
「煮紧嘢」
系鞋带 「缚紧嘢」
门 「门」
*木偶* 「手偶」
*公鸡* 「公鸡」
*接球* 「接住嘢」
*建筑* 「起紧嘢」
警察 「警察」
砌积木 「砌紧嘢」
P. *烧烤* 「烧紧嘢」
洗澡 「冲紧凉」
*水壶* 「水壶」
米火车头* 「火车头」
T. *火箭起飞* 「起紧飞」",语言理解,RL,"2- 正确指出或辨认最少14幅图画
1- 正确辨认1-13幅图画
0- 未能正确辨认出任何图画",2/1/0,OCR草稿，需人工校对
86,（86） 说出14幅图画名称,"28,29",PEP-3使用册(1).pdf,（86） 说出14幅图画名称,"测试用书
（有图画的部分）
1.","测试员翻开测试用书86A，并指着
「牛」的图画，问儿童：「乜嚟架？」
（这是甚么？）若所测试之提问词
是动词，则问：「（佢）做紧乜嘢？」
（他/ 她在做甚么？）继续用以上程
序测试余下的图画，并记录正确答案
的数目。若儿童连续出现5个错误，
或连续对5幅图没有反应，便停止测
试。
正确答案
A. 牛
B. 皮球/波
C.花
D. 婴儿车
E. 牙刷
F.雪柜
G.「油」油
H. 打秋千
樽
J.电风扇
K. 水企鹅*
L. 溜冰
抱 着 只 狗
医生
跳水
*踏（三轮车、单车）*
举起
*教堂*
米炉*
「整」路
[续页 p.029]
可接受的答案
A. 牛牛、牛公、牛仔，或孩子发出牛
B. 波波、网球、足球、任何与图形相
似的球
C.花花、菊花
D. BB车、手推车，或孩子对婴儿车
作出形容
刷刷
电冰箱、冰箱
搽颜色、搽嘢、油嘢、油漆
打千秋
玻璃樽、可乐樽、汽水樽、可乐
风扇
Pingu
L. 滚轴溜冰、踩Roller
M. 攞着只狗、同只狗玩、带狗
牙医、护士
游水、落水、准备游水
踏车、坐单车
举车、运动、健身、做Gym、拎起
尖顶、教会
煤气炉、石油气炉、炉头
T. 铲泥、起嘢、揸车
*不可接受的答案
羊、马
羽毛球、波子
树 、叶、植物
单i 车、推推
刷 牙
冻！ 冻 、柜柜
扫 地、扫嘢
摇 、打打
饮， 饮、水水
吹吹、吊扇、机器
企、鹅
走紧
拍、闻、睇、行路
哥哥、工人、姑娘
运动
脚脚、三轮车、单车
哑铃
屋、楼、大厦
火、煮嘢",语言表达,EL,"2- 正确地说出最少14幅图画的名称
1- 正确地说出1-13幅图画的名称
0- 未能正确地说出任何图画的名称",2/1/0,OCR草稿，需人工校对
87,（87）说出一句4-5词片语,30,PEP-3使用册(1).pdf,"（87）说出一句4-5词片语
测试用书及字卡",测试用书,"测试员把测试用书放在儿童面前，
一起翻阅4页图画，如儿童不留心看
其中一幅图画，需把其他3幅图画盖
着。如儿童对某幅图画有兴趣，测试
员可向儿童发问以鼓励儿童用言语表
达。继续翻开其他你认为有机会引发
言语的图画。
测试员记录儿童的经验描述或在看图
画时的说话或对提问的回答。
可以以下列问题引发说话，如例题：
1.「话俾我听你睇到啲乜嘢？」（告诉
我你看到甚么？）
2.「你屋企有冇呢样嘢？」（在你家里
有这东西吗？）
3.「你只狗系点架？」（你的狗儿是怎
样的呢？）
4.「边个同你做呢样嘢？」（谁与你做
这事？）
5.「你钟意食乜嘢？」（你喜欢吃甚
么？）
6.「你点整汉堡包呀？」（如何做汉堡
包？）
7.「你钟意着乜嘢衫？」（你喜欢穿甚
么衣服？）",语言表达,EL,"2- 说出一句4至5词的片语
1- 说出一句2至3词的片语
0- 没有说出一句最少2词的片语
*如有任何疑问，可咨询言语治疗师。*",2/1/0,OCR草稿，需人工校对
